id,Composer,Title,Publisher,Comment,OCLC,Classification
328,(various composers),Album of old masters : for cello and piano,"Belwin Mills Publishing Corp., Melville, N.Y., .", Score and part. Very good condition. No bowmarkings.,7590097,ANTH C675 2tet Albu
337,(various composers),Cello music by French composers : from Couperin to Debussy : for violoncello and piano ,"G. Schirmer, Inc., New York, .", Score and part. Fair condition. Cover is tearing at the crease. Some bowmarkings in cello part. Compiled and edited by Otto Deri.,502779,ANTH C687 2tet Cell
1215,"Hampton, Colin.",Cello quartets : music for four cellos ,"Spruce Publications, , .", Four spiral bound parts. Good condition.,25583981,ANTH H355 4tet Cell
373,(various composers),Cello scales and arpeggios ,"Galaxy Music Corporation, New York, .", 56 pages of music. Very good condition.,5054485,TECH F65 Cell
588,"Tolstoy, N. D.",Kontsertnye proizvedeniia sovetskikh kompozitorov dlia violoncheli solo = Concert pieces by Soviet composers for violoncello solo,"Muzyka, Leningrad, .", 35 pages of music. Good aged condition. Paper is very yellowed. Otherwise good. No bowmarkings.,83429294,T65 SOLO Conc
615,"Murzin, V.",P'esy zarubeznyh kompozitorov : dlâ violonceli i fortepiano,"Muzyka, Moskva, .", Score and part. Good aged condition. Paper is very yellowed but otherwise good. No bowmarkings. Some tearing at the crease on the cover.,839267347,ANTH M86 2tet Pesy
350,(various composers),Solos for the cello player : with piano accompaniment ,"G. Schirmer, New York, .", Score and part. Very good condition. Some light coffee stains on cello part. Some wear to the cover. Selected and edited by Otto Deri.,518880,ANTH D47 2tet Solo
355,"Lloyd Webber, Julian, 1951-.",The Young cellist's repertoire. Book 3 ,"Faber Music Ltd, London, ."," Score and part. Excellent condition, no bowmarkings. Selected and edited by Julian Lloyd Webber and Simon Nicholls.",830851721,ANTH L56 2tet Youn vol. 3 ***current filed under W
1184,(various composers),Thirty solo pieces for violoncello with piano accompaniment ,"G. Schirmer, New York, 1939.", Score and part. Volume I of II only. Very aged condition. Paper is yellowed and cover is nearly torn off the score. Selected and edited by Willem Willeke (Plate No. 20867. Publisher No. 20868 printed on first page of score and part).,4803942,ANTH W555 2tet Thir
1134,"Artchiboucheff, N.",Variations sur un thème populaire russe : pour quatuor d'archets / Variat︠s︡īi na russkui︠u︡ temu : dli︠a︡ smychkovago kvarteta ,"M.P. Belaïeff, Leipzig, .", Photocopies of four parts. No originals.,15875257,A78 4tet VAR
1185,(various composers),"Violoncello classics : a collection of original pieces and arrangements for violoncello, with accompaniment of piano ","G. Schirmer, New York, ."," Score and part. Volume I of II only. Very aged condition. Paper is yellowed and sleeve is nearly torn in half. Selected, edited, and fingered by Leo Schulz.",4928233,ANTH S3861 2tet Viol
531,"Abel, Karl Friedrich, 1723-1787.",Concerto in B flat major for cello and piano ,"Belwin Mills Publishing Corp., Melville, N.Y., .", Score and part. Excellent condition. No bowmarkings. Carl Friedrich Abel. Acc. Arr. For piano.,20475406,A2 2tet CON
325,"Adamska, Zofia; (1903-1988).",Melodyjne utwory na wiolonczele i fortepian. 2 ,"Polskie Wydawnictwo Muzyczne, Kraków, .", Score and part. Very good condition.,750785334,A3 2tet MEL
967,"Adolphe, Bruce.",Urban scenes : string quartet and kids (1993) ,"MMB Music, St. Louis, ."," Score and parts in envelope, stored in file folder. Excellent condition. The 5th part, ""Kid's cue sheet"" (32 cm.), comprises whistling and other sounds. ""Commissioned by the Meridian String Quartet for their residency at the Turtle Bay Music School in New York City.""",34303280,A35 ENS Urba
204,"Agazanov, Artem Petrovic, 1913-.",Соната для виолончели и фортепиано / Sonata for Violoncello and Piano,", , .", Score and part. Looks to be self published.  Score is bound in a pink cardstock folder.,,A4 2tet SON
517,"Albert, Eugen d', 1864-1932.","Concerto in C major, opus 20 : for cello and piano ","International Music Company, New York City, .", Score and part. Fair condition. No bowmarkings. Paper for score and part is yellowed. Cover showing wear at the crease.,748336854,A43 2tet CON op. 20
8,"Alder, Ernest.",Samson et Dalila,"A. Durand & Fils, Paris, ."," Four parts: Violin, Cello, Bass and Piano.  Parts are aged and in poor condition.",,A434 4tet Sams
1207,"Alkan, Charles-Valentin, 1813-1888.",Sonate de concert pour piano et violoncelle. Oeuvre 47,"Richault, Paris, .", Photocopies of cello part only. Score is missing.,20165773,A45 2tet SON op. 47
1208,"Alotin, Yardena.",Sonata : for violoncello solo (1976) ,"Yardena Alotin, Tel-Aviv, .", Holograph (photocopy) bound in cardboard sleeve.  Handwritten manuscript.,,A46 SOLO SON
154,"Alotin, Yardena.",Sonata : for violoncello solo (1976) ,"Israel Music Institute, Tel-Aviv, 1987."," One part, good condition. Yellowing of tape binding for fold-out sections.",638094570,A46 SOLO SON
739,"Amram, David 1930-.","Dirge and variations : for violin, violoncello, and piano ","C. F. Peters, New York, .", Score and two parts. Good condition. Some minor tears to the cover at the crease. Includes biographical information on the composer in English on page [4] of cover.,1436787,A47 3tet Dirg
1179,"Amram, David 1930-.",Three songs for Marlboro : for horn and violoncello ,"C. F. Peters Corporation, New York, .", Two scores in paper sleeve. Good condition. Includes biographical information on the composer in English.,1404876,A47 2tet Thre
901,"Andriessen, Hendrik, 1892-1981.","Pastorale voor fluit, viool en piano (1942) ","Donemus, Amsterdam, .", Score and two parts. Aged condition. Paper is quite yellowed. Some staining on the cover.,31312470,A5 3tet Pas
1069,"Arensky, Anton, 1861-1906.","Kvintet, D-dur, dl︠i︡a fortepiano, dvukh skripok, alʹta i violoncheli : soch. 51 = Quintuor, D-dur, pour piano, deux violons, alto et violoncelle : op. 51 ","Gosudarstvennoe Izd-vo, Muzykalʹnyĭ Sektor, Moskva, .", Photocopies of score and parts (spiral bound with green covers) are stored in a file folder. No originals. A. Arenskiĭ.,26987149,A7 5tet op. 51
1083,"Arensky, Anton, 1861-1906.","Kvintet, D-dur, dl︠i︡a fortepiano, dvukh skripok, alʹta i violoncheli : soch. 51 = Quintuor, D-dur, pour piano, deux violons, alto et violoncelle : op. 51 ","Gosudarstvennoe Izd-vo, Muzykalʹnyĭ Sektor, Moskva, .", Photocopies of score are stored in a paper bag. No originals. All parts are missing. Score only.,26987149,A7 5tet op. 51
